checked_date,output_directory,png_count,pdf_count,svg_count,tiff_count,metadata_files,same_name_config_local,same_name_config_archived,example_png,scope
2026-09-06,outputs/Other_Task1235_PerformanceBars_1.1,3,6,6,3,outputs/Other_Task1235_PerformanceBars_1.1/source_manifest.json,,,outputs/Other_Task1235_PerformanceBars_1.1/task1235_main_f1_bars.png,current main-table quantitative
2026-09-06,outputs/Other_Task23DenseCloseup_1.1,18,18,36,18,outputs/Other_Task23DenseCloseup_1.1/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.1/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.1.yaml,outputs/Other_Task23DenseCloseup_1.1/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.2,18,18,36,18,outputs/Other_Task23DenseCloseup_1.2/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.2/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.2.yaml,outputs/Other_Task23DenseCloseup_1.2/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.3,18,18,36,18,outputs/Other_Task23DenseCloseup_1.3/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.3/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.3.yaml,outputs/Other_Task23DenseCloseup_1.3/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.4,18,18,36,18,outputs/Other_Task23DenseCloseup_1.4/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.4/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.4.yaml,outputs/Other_Task23DenseCloseup_1.4/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.5,18,18,36,18,outputs/Other_Task23DenseCloseup_1.5/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.5/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.5.yaml,outputs/Other_Task23DenseCloseup_1.5/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.6,18,18,36,18,outputs/Other_Task23DenseCloseup_1.6/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.6/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.6.yaml,outputs/Other_Task23DenseCloseup_1.6/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.7,2,2,4,2,outputs/Other_Task23DenseCloseup_1.7/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.7.yaml,outputs/Other_Task23DenseCloseup_1.7/task3_figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.8,18,36,36,18,outputs/Other_Task23DenseCloseup_1.8/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.8/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.8.yaml,outputs/Other_Task23DenseCloseup_1.8/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_1.9,18,26,36,18,outputs/Other_Task23DenseCloseup_1.9/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_1.9/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_1.9.yaml,outputs/Other_Task23DenseCloseup_1.9/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.0,18,36,36,18,outputs/Other_Task23DenseCloseup_2.0/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.0/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.0.yaml,outputs/Other_Task23DenseCloseup_2.0/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.1,18,18,36,18,outputs/Other_Task23DenseCloseup_2.1/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.1/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.1.yaml,outputs/Other_Task23DenseCloseup_2.1/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.2,18,18,36,18,outputs/Other_Task23DenseCloseup_2.2/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.2/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.2.yaml,outputs/Other_Task23DenseCloseup_2.2/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.3,18,18,36,18,outputs/Other_Task23DenseCloseup_2.3/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.3/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.3.yaml,outputs/Other_Task23DenseCloseup_2.3/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.4,18,18,36,18,outputs/Other_Task23DenseCloseup_2.4/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.4/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.4.yaml,outputs/Other_Task23DenseCloseup_2.4/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.5,18,36,36,18,outputs/Other_Task23DenseCloseup_2.5/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.5/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.5.yaml,outputs/Other_Task23DenseCloseup_2.5/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.6,11,11,22,11,outputs/Other_Task23DenseCloseup_2.6/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.6/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.6.yaml,outputs/Other_Task23DenseCloseup_2.6/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.7,18,18,36,18,outputs/Other_Task23DenseCloseup_2.7/task2_figures/manifest.json; outputs/Other_Task23DenseCloseup_2.7/task3_figures/manifest.json,,config/Other_Task23DenseCloseup_2.7.yaml,outputs/Other_Task23DenseCloseup_2.7/task2_figures/boeing747_task2_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task23DenseCloseup_2.8,2,2,4,2,outputs/Other_Task23DenseCloseup_2.8/task3_figures/manifest.json,config/Other_Task23DenseCloseup_2.8.yaml,,outputs/Other_Task23DenseCloseup_2.8/task3_figures/cylinder3d_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.1,10,20,20,0,outputs/Other_Task3DenseVisualization_1.1/cache/boeing747/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/channel/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/cylinder3d/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/deltaWing_LBM/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/deltaWing_resampled/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/f22raptor/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/halfcylinderRe640/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/halfcylinderRe6400/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/smokeBuoyancy/manifest.json; outputs/Other_Task3DenseVisualization_1.1/cache/tangaroa/manifest.json; outputs/Other_Task3DenseVisualization_1.1/figures/manifest.json,,config/Other_Task3DenseVisualization_1.1.yaml,outputs/Other_Task3DenseVisualization_1.1/figures/boeing747_task3_diagnostic.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.10,10,20,20,0,outputs/Other_Task3DenseVisualization_1.10/figures/manifest.json,,config/Other_Task3DenseVisualization_1.10.yaml,outputs/Other_Task3DenseVisualization_1.10/figures/boeing747_task3_diagnostic.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.11,10,20,20,0,outputs/Other_Task3DenseVisualization_1.11/figures/manifest.json,,config/Other_Task3DenseVisualization_1.11.yaml,outputs/Other_Task3DenseVisualization_1.11/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.12,10,10,20,10,outputs/Other_Task3DenseVisualization_1.12/figures/manifest.json,,config/Other_Task3DenseVisualization_1.12.yaml,outputs/Other_Task3DenseVisualization_1.12/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.13,10,11,20,10,outputs/Other_Task3DenseVisualization_1.13/figures/manifest.json,,config/Other_Task3DenseVisualization_1.13.yaml,outputs/Other_Task3DenseVisualization_1.13/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.14,10,10,20,10,outputs/Other_Task3DenseVisualization_1.14/figures/manifest.json,,config/Other_Task3DenseVisualization_1.14.yaml,outputs/Other_Task3DenseVisualization_1.14/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.15,10,10,20,10,outputs/Other_Task3DenseVisualization_1.15/figures/manifest.json,,config/Other_Task3DenseVisualization_1.15.yaml,outputs/Other_Task3DenseVisualization_1.15/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.16,3,3,6,3,outputs/Other_Task3DenseVisualization_1.16/figures/manifest.json,,,outputs/Other_Task3DenseVisualization_1.16/figures/cylinder3d_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.17,10,10,20,10,outputs/Other_Task3DenseVisualization_1.17/cache/boeing747/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/channel/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/cylinder3d/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/deltaWing_LBM/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/deltaWing_resampled/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/f22raptor/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/halfcylinderRe640/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/halfcylinderRe6400/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/smokeBuoyancy/manifest.json; outputs/Other_Task3DenseVisualization_1.17/cache/tangaroa/manifest.json; outputs/Other_Task3DenseVisualization_1.17/figures/manifest.json,,config/Other_Task3DenseVisualization_1.17.yaml,outputs/Other_Task3DenseVisualization_1.17/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.18,10,10,20,10,outputs/Other_Task3DenseVisualization_1.18/figures/manifest.json,,config/Other_Task3DenseVisualization_1.18.yaml,outputs/Other_Task3DenseVisualization_1.18/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.19,10,10,20,10,outputs/Other_Task3DenseVisualization_1.19/figures/manifest.json,,config/Other_Task3DenseVisualization_1.19.yaml,outputs/Other_Task3DenseVisualization_1.19/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.2,10,10,20,0,outputs/Other_Task3DenseVisualization_1.2/figures/manifest.json,,config/Other_Task3DenseVisualization_1.2.yaml,outputs/Other_Task3DenseVisualization_1.2/figures/boeing747_task3_diagnostic.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.20,9,9,18,9,outputs/Other_Task3DenseVisualization_1.20/cache/boeing747/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/channel/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/cylinder3d/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/deltaWing_LBM/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/deltaWing_resampled/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/halfcylinderRe640/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/halfcylinderRe6400/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/smokeBuoyancy/manifest.json; outputs/Other_Task3DenseVisualization_1.20/cache/tangaroa/manifest.json; outputs/Other_Task3DenseVisualization_1.20/figures/manifest.json,,config/Other_Task3DenseVisualization_1.20.yaml,outputs/Other_Task3DenseVisualization_1.20/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.21,9,18,18,9,outputs/Other_Task3DenseVisualization_1.21/figures/manifest.json,,config/Other_Task3DenseVisualization_1.21.yaml,outputs/Other_Task3DenseVisualization_1.21/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
2026-09-06,outputs/Other_Task3DenseVisualization_1.22,9,13,18,9,outputs/Other_Task3DenseVisualization_1.22/figures/manifest.json,,config/Other_Task3DenseVisualization_1.22.yaml,outputs/Other_Task3DenseVisualization_1.22/figures/boeing747_task3_closeup.png,historical spatial visualization; verify metadata before reuse
