candidate_id,family_macro_base_average_precision_gain,family_macro_base_f1_gain,family_macro_spatial_average_precision_gain,family_macro_spatial_f1_gain,feature_width,fmt_feature,group,robust_mean_family_macro_gain,robust_min_family_macro_gain
c04_all_kin4,0.4215005484784151,0.21796505067684946,0.42304414570465176,0.2399851276545395,189,fmt_all+kin4,boeing747,0.32562371812861396,0.21796505067684946
c17_all_aivd2w8,0.41934756670513584,0.2124082179016923,0.41469727979990334,0.23951630560848758,171,fmt_all+aivd2w8,boeing747,0.32149234250380476,0.2124082179016923
c03_all_kin2,0.41744926594406284,0.20943904876944963,0.41708531849164876,0.2327323231213999,173,fmt_all+kin2,boeing747,0.3191764890816403,0.20943904876944963
c07_aivd2w8,0.4858742276631356,0.24843906403730165,0.43230943718064063,0.2036590548020396,10,aivd2w8,boeing747,0.34257044592077934,0.2036590548020396
c12_aivd2w8log,0.4858449562731644,0.24807462722306417,0.43231445352284703,0.2036590548020396,10,aivd2w8log,boeing747,0.3424732729552788,0.2036590548020396
c00_kin2,0.48795065552461486,0.2523384901217762,0.4367563456199933,0.2021927036092015,12,kin2,boeing747,0.34480954871889646,0.2021927036092015
c06_aivd2w4,0.4863837780687026,0.24836140532867446,0.4308588121129615,0.20187255928537107,10,aivd2w4,boeing747,0.34186913869892743,0.20187255928537107
c08_aivd4w8,0.4881454934866374,0.24552586914662922,0.4323965089682028,0.20022437147132222,14,aivd4w8,boeing747,0.34157306076819793,0.20022437147132222
c13_aivdq2w8,0.4909405226891305,0.26260059825076343,0.42338608874877937,0.197584600435754,20,aivdq2w8,boeing747,0.3436279525311068,0.197584600435754
c09_aivd4w16,0.48969157135300057,0.25210652377802933,0.432972585872586,0.1933930453123518,14,aivd4w16,boeing747,0.34204093157899196,0.1933930453123518
c11_aivd6w32,0.4900551351799002,0.25812825377262094,0.426927273661617,0.19022850743644082,18,aivd6w32,boeing747,0.34133479251264476,0.19022850743644082
c05_aivd1w3,0.46901478697107024,0.2261071223071207,0.41854038456286125,0.18773487272111966,8,aivd1w3,boeing747,0.32534929164054294,0.18773487272111966
c16_akin4w16,0.4509938053861675,0.21831689799787735,0.40467208915651953,0.18633524079982444,56,akin4w16,boeing747,0.31507950833509724,0.18633524079982444
c10_aivd6w16,0.48744771122129826,0.24957702141640614,0.4246293482704646,0.183901753200039,18,aivd6w16,boeing747,0.336388958527052,0.183901753200039
c14_aivdq4w16,0.45312971799883217,0.22763100098769518,0.40199181491312685,0.18220915307088614,28,aivdq4w16,boeing747,0.3162404217426351,0.18220915307088614
c01_kin4,0.45426340955829747,0.23030294055217415,0.4045356662943034,0.1761870887032525,28,kin4,boeing747,0.3163222762770069,0.1761870887032525
c02_kin6,0.44657341016049545,0.2244231339358611,0.40018985481898006,0.17320941665710232,44,kin6,boeing747,0.3110989538931097,0.17320941665710232
c15_akin2w8,0.44856083024776505,0.22330417587652318,0.39325159933860787,0.17210904491362067,40,akin2w8,boeing747,0.30930641259412917,0.17210904491362067
c06_aivd2w4,0.8277310645611013,0.6932148094938793,0.8753014705606083,0.7762741599111058,10,aivd2w4,channel,0.7931303761316736,0.6932148094938793
c05_aivd1w3,0.8160061425799529,0.6927236541915441,0.8717345670195423,0.7783062736784445,8,aivd1w3,channel,0.789692659367371,0.6927236541915441
c12_aivd2w8log,0.8169348642283658,0.6834215658957927,0.8719459221030842,0.7782689490333986,10,aivd2w8log,channel,0.7876428253151604,0.6834215658957927
c07_aivd2w8,0.8171256341785988,0.6825785620842264,0.8720123179964271,0.7782689490333986,10,aivd2w8,channel,0.7874963658231627,0.6825785620842264
c08_aivd4w8,0.8052497359733406,0.6702223577376181,0.8508930763173685,0.7471230640916408,14,aivd4w8,channel,0.768372058529992,0.6702223577376181
c09_aivd4w16,0.8023395379972253,0.6646764328082579,0.848406685814321,0.752205656213623,14,aivd4w16,channel,0.7669070782083568,0.6646764328082579
c14_aivdq4w16,0.7754496969187875,0.6202793905618789,0.8249977716834609,0.6831068142543553,28,aivdq4w16,channel,0.7259584183546206,0.6202793905618789
c10_aivd6w16,0.783752784238504,0.6139424014853716,0.8278946555028519,0.7337470743467269,18,aivd6w16,channel,0.7398342288933635,0.6139424014853716
c11_aivd6w32,0.7736240908013569,0.61340309745722,0.8278795849932725,0.7448204598982111,18,aivd6w32,channel,0.7399318082875153,0.61340309745722
c13_aivdq2w8,0.7682264091463697,0.5928853189006537,0.8257014937306661,0.7416303644486988,20,aivdq2w8,channel,0.7321108965565971,0.5928853189006537
c00_kin2,0.720657819009904,0.5762569428776406,0.7407116764401376,0.6438652434098108,12,kin2,channel,0.6703729204343734,0.5762569428776406
c01_kin4,0.7200758170770184,0.5721941918301205,0.7721339582714252,0.6347939392699018,28,kin4,channel,0.6747994766121165,0.5721941918301205
c15_akin2w8,0.6613214502422228,0.5251395495916629,0.7160898498426392,0.5539367573263226,40,akin2w8,channel,0.6141219017507119,0.5251395495916629
c16_akin4w16,0.6680792433675219,0.5222473318394165,0.7242067770746643,0.5401188634056435,56,akin4w16,channel,0.6136630539218115,0.5222473318394165
c17_all_aivd2w8,0.6224314556428242,0.4964401026575047,0.7127170364840705,0.5410399451008963,171,fmt_all+aivd2w8,channel,0.5931571349713239,0.4964401026575047
c02_kin6,0.635572928528702,0.48737985465343436,0.6913241675394685,0.5304909394679347,44,kin6,channel,0.5861919725473849,0.48737985465343436
c03_all_kin2,0.5827615923279911,0.46150871216884043,0.6784504984829568,0.4898520811833505,173,fmt_all+kin2,channel,0.5531432210407847,0.46150871216884043
c04_all_kin4,0.584843161703525,0.4582439152803291,0.6908238598843839,0.5050103716113123,189,fmt_all+kin4,channel,0.5597303271198876,0.4582439152803291
c11_aivd6w32,0.4490015956211466,0.4031128529283403,0.7483130710058686,0.6696342039661141,18,aivd6w32,deltaWing,0.5675154308803674,0.4031128529283403
c10_aivd6w16,0.44860872124892376,0.4011838112046707,0.7455340069915852,0.6554478382726022,18,aivd6w16,deltaWing,0.5626935944294454,0.4011838112046707
c13_aivdq2w8,0.44651914728832237,0.3929701081691692,0.7410272980327799,0.6758793335477478,20,aivdq2w8,deltaWing,0.5640989717595049,0.3929701081691692
c01_kin4,0.4254168189745705,0.3874914202930227,0.7197372344129394,0.663847417867357,28,kin4,deltaWing,0.5491232228869725,0.3874914202930227
c14_aivdq4w16,0.4249495778622319,0.3862696416650905,0.7178061110743152,0.667635474265774,28,aivdq4w16,deltaWing,0.5491652012168529,0.3862696416650905
c09_aivd4w16,0.4486849552801253,0.3668327593475264,0.7132712946059111,0.6210659919295802,14,aivd4w16,deltaWing,0.5374637502907857,0.3668327593475264
c08_aivd4w8,0.4381538145210145,0.3533818555935905,0.7082073137473679,0.5973873604760189,14,aivd4w8,deltaWing,0.524282586084498,0.3533818555935905
c15_akin2w8,0.361179893085257,0.3191254004164197,0.6675789706231048,0.6400227092079351,40,akin2w8,deltaWing,0.49697674333317915,0.3191254004164197
c02_kin6,0.3524040451040127,0.31281870911329396,0.6688968480913554,0.6356368225650383,44,kin6,deltaWing,0.4924391062184251,0.31281870911329396
c00_kin2,0.3991061287349723,0.2979926082012137,0.6843078122215331,0.6608246777178111,12,kin2,deltaWing,0.5105578067188825,0.2979926082012137
c16_akin4w16,0.32494531413032185,0.29007678385808583,0.6322382047926864,0.6407544387360475,56,akin4w16,deltaWing,0.4720036853792854,0.29007678385808583
c07_aivd2w8,0.35698642990019613,0.2651492126245532,0.44895027239813506,0.39524834569222184,10,aivd2w8,deltaWing,0.36658356515377655,0.2651492126245532
c12_aivd2w8log,0.35689082312460474,0.26505242594240064,0.44887854054239656,0.39489925073138654,10,aivd2w8log,deltaWing,0.36643026008519713,0.26505242594240064
c06_aivd2w4,0.356390333042095,0.2548049176865192,0.4484139693938987,0.3924452911917535,10,aivd2w4,deltaWing,0.3630136278285666,0.2548049176865192
c03_all_kin2,0.2693552316427912,0.21565346947231429,0.4948318429236056,0.5880520610123752,173,fmt_all+kin2,deltaWing,0.39197315126277155,0.21565346947231429
c04_all_kin4,0.2615296209949406,0.2148354995064189,0.48648765468937194,0.5815112851742054,189,fmt_all+kin4,deltaWing,0.3860910150912342,0.2148354995064189
c17_all_aivd2w8,0.2671325879869194,0.21280339022570705,0.48835311692113637,0.6001782240951054,171,fmt_all+aivd2w8,deltaWing,0.39211682980721707,0.21280339022570705
c05_aivd1w3,0.3055487977450264,0.20319885086223,0.2986190667050611,0.17190876747683648,8,aivd1w3,deltaWing,0.2448188706972885,0.17190876747683648
c05_aivd1w3,0.45913166746142275,0.2488907626669945,0.4652184491517668,0.2379484028847101,8,aivd1w3,f22raptor,0.35279732054122354,0.2379484028847101
c17_all_aivd2w8,0.30658196843652397,0.23825136612021858,0.3148175138777154,0.23137798709369073,171,fmt_all+aivd2w8,f22raptor,0.27275720888203714,0.23137798709369073
c12_aivd2w8log,0.4390814980218235,0.25956818140761617,0.42496799789277917,0.22802711328348424,10,aivd2w8log,f22raptor,0.33791119765142574,0.22802711328348424
c09_aivd4w16,0.437932121104494,0.26208558084462574,0.44688507802354216,0.2237664141825746,14,aivd4w16,f22raptor,0.3426672985388091,0.2237664141825746
c08_aivd4w8,0.43772017372993044,0.25664266092025556,0.44678951240723785,0.22227637750581286,14,aivd4w8,f22raptor,0.3408571811408092,0.22227637750581286
c07_aivd2w8,0.43832461350524254,0.26002064279757753,0.4253005860629492,0.220249850241782,10,aivd2w8,f22raptor,0.3359739231518878,0.220249850241782
c16_akin4w16,0.2946171915634259,0.2208528474989908,0.3049958981021087,0.217981950020822,56,akin4w16,f22raptor,0.2596119717963369,0.217981950020822
