id,feature_dimensions,kind,definition,center_policy,convolution
p00,100,absolute_top,"{""kind"": ""absolute_top"", ""k"": 4, ""pooled_dimensions"": 5, ""id"": ""p00"", ""feature_dimensions"": 100}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p01,97,absolute_top,"{""kind"": ""absolute_top"", ""k"": 1, ""pooled_dimensions"": 2, ""id"": ""p01"", ""feature_dimensions"": 97}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p02,104,absolute_top,"{""kind"": ""absolute_top"", ""k"": 8, ""pooled_dimensions"": 9, ""id"": ""p02"", ""feature_dimensions"": 104}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p03,112,absolute_top,"{""kind"": ""absolute_top"", ""k"": 16, ""pooled_dimensions"": 17, ""id"": ""p03"", ""feature_dimensions"": 112}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p04,120,absolute_top,"{""kind"": ""absolute_top"", ""k"": 24, ""pooled_dimensions"": 25, ""id"": ""p04"", ""feature_dimensions"": 120}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p05,128,absolute_top,"{""kind"": ""absolute_top"", ""k"": 32, ""pooled_dimensions"": 33, ""id"": ""p05"", ""feature_dimensions"": 128}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p06,144,absolute_top,"{""kind"": ""absolute_top"", ""k"": 48, ""pooled_dimensions"": 49, ""id"": ""p06"", ""feature_dimensions"": 144}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p07,160,absolute_top,"{""kind"": ""absolute_top"", ""k"": 64, ""pooled_dimensions"": 65, ""id"": ""p07"", ""feature_dimensions"": 160}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p08,192,absolute_top,"{""kind"": ""absolute_top"", ""k"": 96, ""pooled_dimensions"": 97, ""id"": ""p08"", ""feature_dimensions"": 192}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p09,234,absolute_top,"{""kind"": ""absolute_top"", ""k"": 138, ""pooled_dimensions"": 139, ""id"": ""p09"", ""feature_dimensions"": 234}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p10,100,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 4, ""pooled_dimensions"": 5, ""id"": ""p10"", ""feature_dimensions"": 100}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p11,97,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 1, ""pooled_dimensions"": 2, ""id"": ""p11"", ""feature_dimensions"": 97}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p12,104,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 8, ""pooled_dimensions"": 9, ""id"": ""p12"", ""feature_dimensions"": 104}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p13,112,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 16, ""pooled_dimensions"": 17, ""id"": ""p13"", ""feature_dimensions"": 112}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p14,120,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 24, ""pooled_dimensions"": 25, ""id"": ""p14"", ""feature_dimensions"": 120}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p15,128,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 32, ""pooled_dimensions"": 33, ""id"": ""p15"", ""feature_dimensions"": 128}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p16,144,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 48, ""pooled_dimensions"": 49, ""id"": ""p16"", ""feature_dimensions"": 144}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p17,160,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 64, ""pooled_dimensions"": 65, ""id"": ""p17"", ""feature_dimensions"": 160}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p18,192,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 96, ""pooled_dimensions"": 97, ""id"": ""p18"", ""feature_dimensions"": 192}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p19,234,signed_extremes,"{""kind"": ""signed_extremes"", ""k"": 138, ""pooled_dimensions"": 139, ""id"": ""p19"", ""feature_dimensions"": 234}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p20,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 4, ""pooled_dimensions"": 138, ""id"": ""p20"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p21,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 1, ""pooled_dimensions"": 138, ""id"": ""p21"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p22,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 8, ""pooled_dimensions"": 138, ""id"": ""p22"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p23,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 16, ""pooled_dimensions"": 138, ""id"": ""p23"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p24,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 24, ""pooled_dimensions"": 138, ""id"": ""p24"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p25,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 32, ""pooled_dimensions"": 138, ""id"": ""p25"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p26,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 48, ""pooled_dimensions"": 138, ""id"": ""p26"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p27,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 64, ""pooled_dimensions"": 138, ""id"": ""p27"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p28,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 96, ""pooled_dimensions"": 138, ""id"": ""p28"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p29,233,indexed_top,"{""kind"": ""indexed_top"", ""k"": 138, ""pooled_dimensions"": 138, ""id"": ""p29"", ""feature_dimensions"": 233}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p30,118,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""mean""], ""pooled_dimensions"": 23, ""id"": ""p30"", ""feature_dimensions"": 118}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p31,118,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""max""], ""pooled_dimensions"": 23, ""id"": ""p31"", ""feature_dimensions"": 118}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p32,118,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""min""], ""pooled_dimensions"": 23, ""id"": ""p32"", ""feature_dimensions"": 118}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p33,118,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""std""], ""pooled_dimensions"": 23, ""id"": ""p33"", ""feature_dimensions"": 118}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p34,118,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""rms""], ""pooled_dimensions"": 23, ""id"": ""p34"", ""feature_dimensions"": 118}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p35,141,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""mean"", ""max""], ""pooled_dimensions"": 46, ""id"": ""p35"", ""feature_dimensions"": 141}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p36,141,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""mean"", ""std""], ""pooled_dimensions"": 46, ""id"": ""p36"", ""feature_dimensions"": 141}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p37,141,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""min"", ""max""], ""pooled_dimensions"": 46, ""id"": ""p37"", ""feature_dimensions"": 141}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
p38,164,semantic_statistics,"{""kind"": ""semantic_statistics"", ""statistics"": [""mean"", ""max"", ""std""], ""pooled_dimensions"": 69, ""id"": ""p38"", ""feature_dimensions"": 164}",not_specified_by_pooling_recipe; see task adapter,none_in_pooling
