pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p13,h0,original,32,uniform,none,c000,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,uniform,jitter,c001,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,uniform,rotate15,c002,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,uniform,rotate_so3,c003,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,uniform,jitter_rotate15,c004,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,uniform,jitter_rotate_so3,c005,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,curvature,none,c006,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,curvature,jitter,c007,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,curvature,rotate15,c008,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,curvature,rotate_so3,c009,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,curvature,jitter_rotate15,c010,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,32,curvature,jitter_rotate_so3,c011,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,uniform,none,c012,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,uniform,jitter,c013,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,uniform,rotate15,c014,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,uniform,rotate_so3,c015,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,uniform,jitter_rotate15,c016,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,uniform,jitter_rotate_so3,c017,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,curvature,none,c018,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,curvature,jitter,c019,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,curvature,rotate15,c020,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,curvature,rotate_so3,c021,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,curvature,jitter_rotate15,c022,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p13,h0,original,48,curvature,jitter_rotate_so3,c023,73026,every_valid_line,fps6,112,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,uniform,none,c024,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,uniform,jitter,c025,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,uniform,rotate15,c026,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,uniform,rotate_so3,c027,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,uniform,jitter_rotate15,c028,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,uniform,jitter_rotate_so3,c029,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,curvature,none,c030,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,curvature,jitter,c031,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,curvature,rotate15,c032,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,curvature,rotate_so3,c033,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,curvature,jitter_rotate15,c034,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,32,curvature,jitter_rotate_so3,c035,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,uniform,none,c036,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,uniform,jitter,c037,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,uniform,rotate15,c038,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,uniform,rotate_so3,c039,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,uniform,jitter_rotate15,c040,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,uniform,jitter_rotate_so3,c041,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,curvature,none,c042,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,curvature,jitter,c043,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,curvature,rotate15,c044,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,curvature,rotate_so3,c045,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,curvature,jitter_rotate15,c046,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p10,h0,original,48,curvature,jitter_rotate_so3,c047,71490,every_valid_line,fps6,100,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,none,c048,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,jitter,c049,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,rotate15,c050,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,rotate_so3,c051,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,jitter_rotate15,c052,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,uniform,jitter_rotate_so3,c053,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
p14,h0,original,32,curvature,none,c054,74050,every_valid_line,fps6,120,False,False,historical_multicenter_not_singlecenter
